Finite Time (ns): ,2200,,Fuzzy Time (ns): ,1383900
Finite Time (ns): ,2000,,Fuzzy Time (ns): ,1390500
Finite Time (ns): ,2200,,Fuzzy Time (ns): ,1282100
Finite Time (ns): ,2000,,Fuzzy Time (ns): ,1391200
Finite Time (ns): ,1900,,Fuzzy Time (ns): ,1355000
Finite Time (ns): ,1800,,Fuzzy Time (ns): ,1357600
Finite Time (ns): ,1700,,Fuzzy Time (ns): ,1251000
Finite Time (ns): ,1700,,Fuzzy Time (ns): ,779500
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,813800
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,853500
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,877400
Finite Time (ns): ,1900,,Fuzzy Time (ns): ,791600
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,777100
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,774900
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,805000
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,808100
Finite Time (ns): ,2500,,Fuzzy Time (ns): ,827700
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,789300
Finite Time (ns): ,2100,,Fuzzy Time (ns): ,893700
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,907800
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,893000
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,980700
Finite Time (ns): ,1800,,Fuzzy Time (ns): ,800000
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,779100
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,779600
Finite Time (ns): ,2500,,Fuzzy Time (ns): ,826500
Finite Time (ns): ,2400,,Fuzzy Time (ns): ,801500
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,783500
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,782500
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,781100
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,788400
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,779000
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,774000
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,795600
Finite Time (ns): ,1600,,Fuzzy Time (ns): ,784900
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,1001400
Finite Time (ns): ,2000,,Fuzzy Time (ns): ,820700
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,801500
Finite Time (ns): ,1700,,Fuzzy Time (ns): ,852100
Finite Time (ns): ,1700,,Fuzzy Time (ns): ,792500
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,793200
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,752300
Finite Time (ns): ,1600,,Fuzzy Time (ns): ,797500
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,936000
Finite Time (ns): ,2800,,Fuzzy Time (ns): ,1342100
Finite Time (ns): ,2000,,Fuzzy Time (ns): ,1270900
Finite Time (ns): ,2300,,Fuzzy Time (ns): ,1338700
Finite Time (ns): ,3300,,Fuzzy Time (ns): ,1985800
Finite Time (ns): ,2300,,Fuzzy Time (ns): ,830300
Finite Time (ns): ,1900,,Fuzzy Time (ns): ,849900
Finite Time (ns): ,1800,,Fuzzy Time (ns): ,810800
Finite Time (ns): ,2500,,Fuzzy Time (ns): ,831000
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,811300
Finite Time (ns): ,1700,,Fuzzy Time (ns): ,804100
Finite Time (ns): ,1600,,Fuzzy Time (ns): ,877300
Finite Time (ns): ,2000,,Fuzzy Time (ns): ,1064100
Finite Time (ns): ,2300,,Fuzzy Time (ns): ,900300
Finite Time (ns): ,2200,,Fuzzy Time (ns): ,846700
Finite Time (ns): ,1900,,Fuzzy Time (ns): ,796100
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,777900
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,773100
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,764300
Finite Time (ns): ,1100,,Fuzzy Time (ns): ,775200
Finite Time (ns): ,2500,,Fuzzy Time (ns): ,874600
Finite Time (ns): ,2200,,Fuzzy Time (ns): ,1314500
Finite Time (ns): ,2700,,Fuzzy Time (ns): ,864200
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,817500
Finite Time (ns): ,1800,,Fuzzy Time (ns): ,806800
Finite Time (ns): ,2400,,Fuzzy Time (ns): ,816300
